Name,CSD Refcode,Database_Acronym,Generic Identity,Calculation Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal Structure File Type,Crystal Structure Availability,matched_not_open_in_col
VAGMAT_CoRE,VAGMAT,CoRE,Real,Crystallographic properties,0.364732,5202.74,1897.6,0.893672,2.3332,14.92091,13.26277,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
XAFFAN_CoRE,XAFFAN,CoRE,Real,Crystallographic properties,0.365184,5181.08,1892.05,0.893631,2.32889,14.91256,13.24304,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
XAFFIV_CoRE,XAFFIV,CoRE,Real,Crystallographic properties,0.358398,5328.69,1909.79,0.889989,2.36343,14.22916,13.19368,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
XAFFER_CoRE,XAFFER,CoRE,Real,Crystallographic properties,0.359874,5171.11,1860.95,0.894844,2.36926,14.21921,13.28886,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
XAFFOB_CoRE,XAFFOB,CoRE,Real,Crystallographic properties,0.366991,5194.87,1906.47,0.889939,2.31544,14.83913,13.174,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
LURRIA_CoRE,LURRIA,CoRE,Real,Crystallographic properties,0.406542,4585.5,1864.2,0.915523,2.07895,22.37295,9.74126,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
RICBEM_CoRE,RICBEM,CoRE,Real,Crystallographic properties,0.399184,5744.81,2293.24,0.87561,2.07057,11.37522,8.59238,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
VAGMEX_CoRE,VAGMEX,CoRE,Real,Crystallographic properties,0.352218,5151.95,1814.61,0.898974,2.43202,15.28058,14.48863,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
UJILAA_clean,UJILAA,CoRE 2019,Real,Machine Learning,0.420332,4716.4,1982.45,0.8898,2.1169,19.23413,9.51535,DOI: 10.5281/zenodo.3537632,CIF (P1 Symmetry),Open Source,
VEBHUG_CoRE,VEBHUG,CoRE,Real,Crystallographic properties,0.44999,4301.87,1935.8,0.87262,1.88786,17.27048,10.00571,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
EDUVOO_CoRE,EDUVOO,CoRE,Real,Crystallographic properties,0.373403,4857.11,1813.66,0.912442,2.31058,20.93415,10.629,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
HABRAF_CoRE,HABRAF,CoRE,Real,Crystallographic properties,0.38234,4849.67,1854.22,0.889946,2.21088,24.30025,9.03547,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
RAYMOV_CoRE,RAYMOV,CoRE,Real,Crystallographic properties,0.424006,4874.97,2067.02,0.875956,1.9182,13.90455,9.65699,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
ic101935f_si_002_auto,Not Applicable,CoRE 2019,Real,Machine Learning,0.408029,5095.35,2079.05,0.8498,2.08269,13.52781,8.78691,DOI: 10.5281/zenodo.3532134,CIF (P1 Symmetry),Open Source,
MEHMET_CoRE,MEHMET,CoRE,Real,Crystallographic properties,0.408796,4594.35,1878.15,0.885333,2.06219,21.82531,9.06966,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,
UQOLUJ01_clean,UQOLUJ01,CoRE 2019,Real,Machine Learning,0.357666,4829.71,1727.42,0.8556,2.39218,18.42935,9.26413,DOI: 10.5281/zenodo.3537839,CIF (P1 Symmetry),Open Source,
