Name,CSD_Refcode,Database_Acronym,Generic_Identity,Calculation_Type,Density,GSA,VSA,VF,PV,LCD,PLD,Source,Crystal_Structure_File_Type,Crystal_Structure_Availability,matched_not_open_in_col,OOD_flag
RAVXOD_CoRE,RAVXOD,CoRE,Real,Crystallographic properties,0.179103,3299.08,590.873,0.877829,5.02266,71.64119,71.50197,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
RAVXIX_CoRE,RAVXIX,CoRE,Real,Crystallographic properties,0.234628,3035.76,712.28,0.860812,3.73528,53.57674,53.2643,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
RAVXET_CoRE,RAVXET,CoRE,Real,Crystallographic properties,0.326772,2809.08,917.932,0.790159,2.54091,38.22812,38.06649,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
RAVWUI_CoRE,RAVWUI,CoRE,Real,Crystallographic properties,0.334726,2893.09,968.397,0.853039,2.5478,36.78756,36.43313,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
RAVXAP_CoRE,RAVXAP,CoRE,Real,Crystallographic properties,0.286105,3359.89,961.284,0.830307,2.96442,34.85961,34.35542,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
BEDYEQ_CoRE,BEDYEQ,CoRE,Real,Crystallographic properties,0.462445,2894.58,1338.59,0.863593,1.80121,33.05863,31.49051,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
RAVWIW_CoRE,RAVWIW,CoRE,Real,Crystallographic properties,0.362216,3017.79,1093.1,0.819698,2.28114,30.70056,30.14408,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
RAVWOC_CoRE,RAVWOC,CoRE,Real,Crystallographic properties,0.383763,2915.51,1118.87,0.781985,2.10589,28.21773,27.5597,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
LETRAF_CoRE,LETRAF,CoRE,Real,Crystallographic properties,0.73382,1483.77,1088.82,0.756226,1.12135,26.76043,26.50411,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
LETQEI_CoRE,LETQEI,CoRE,Real,Crystallographic properties,0.814855,1408.97,1148.11,0.739552,0.986144,25.68931,25.43891,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,,1
