name,csd_refc,db_acr,gt,calc_type,Density,GSA,VSA,VF,PV,LCD,PLD,ug_at_tps,uv_at_tps,source,csft,csa,sample_weight_ug_at_tps,sample_weight_uv_at_tps
ODIXEG_CoRE,ODIXEG,CoRE,Real,Grand Canonical Monte Carlo,0.55,4090.3,2258.6,0.84,1.42,10.36,7.47,8.83,53.69,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ENITAX_CoRE,ENITAX,CoRE,Real,Grand Canonical Monte Carlo,0.57,4020.7,2304.1,0.83,1.36,10.08,7.22,8.52,53.53,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
TEQPEM_CoRE,TEQPEM,CoRE,Real,Grand Canonical Monte Carlo,0.57,3456.2,1980.1,0.86,1.45,17.24,9.16,8.53,53.51,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
RAYMIP_CoRE,RAYMIP,CoRE,Real,Grand Canonical Monte Carlo,0.5,4101.4,2062.2,0.9,1.61,13.47,9.8,9.56,53.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VEHJOJ_CoRE,VEHJOJ,CoRE,Real,Grand Canonical Monte Carlo,0.75,2948.8,2206.6,0.82,1.04,14.1,6.86,6.53,52.74,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PEVQEO_CoRE,PEVQEO,CoRE,Real,Grand Canonical Monte Carlo,0.61,3589.18,2192.47,0.81,1.33,14.85,7.96,7.88,52.58,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VEHJUP_CoRE,VEHJUP,CoRE,Real,Grand Canonical Monte Carlo,0.74,2953.1,2196.2,0.82,1.04,14.28,6.83,6.58,52.48,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SENWIT_CoRE,SENWIT,CoRE,Real,Grand Canonical Monte Carlo,0.78,3097.6,2426.3,0.8,0.98,8.53,6.5,6.25,52.34,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ANUGIA_CoRE,ANUGIA,CoRE,Real,Grand Canonical Monte Carlo,0.57,3762.0,2136.7,0.86,1.38,13.85,6.76,8.35,52.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
MIBQAR19_CoRE,MIBQAR19,CoRE,Real,Grand Canonical Monte Carlo,0.6,3660.23,2191.29,0.81,1.36,15.0,7.98,8.0,52.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
BICDAU_CoRE,BICDAU,CoRE,Real,Grand Canonical Monte Carlo,0.65,3556.7,2322.5,0.84,1.2,11.5,6.69,7.4,52.29,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
JEJWEB_CoRE,JEJWEB,CoRE,Real,Grand Canonical Monte Carlo,0.54,4046.2,2202.6,0.84,1.46,11.27,8.59,8.76,52.23,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
HIGRIA_CoRE,HIGRIA,CoRE,Real,Grand Canonical Monte Carlo,0.65,3477.3,2258.8,0.84,1.19,11.33,6.86,7.37,52.11,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
MUDTAH_CoRE,MUDTAH,CoRE,Real,Grand Canonical Monte Carlo,0.56,3693.9,2076.7,0.85,1.41,18.89,6.63,8.45,52.11,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VUJBEI_CoRE,VUJBEI,CoRE,Real,Grand Canonical Monte Carlo,0.56,3718.3,2092.0,0.85,1.41,18.45,6.58,8.44,52.06,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VUSKAW_CoRE,VUSKAW,CoRE,Real,Grand Canonical Monte Carlo,0.59,3625.3,2155.9,0.83,1.36,14.99,7.97,8.06,52.04,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
KEFBEE_CoRE,KEFBEE,CoRE,Real,Grand Canonical Monte Carlo,0.71,3087.7,2180.3,0.82,1.07,11.08,7.04,6.77,51.98,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SUKYON_CoRE,SUKYON,CoRE,Real,Grand Canonical Monte Carlo,0.53,5129.6,2700.9,0.85,1.47,10.8,7.29,8.85,51.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SAHYIK_CoRE,SAHYIK,CoRE,Real,Grand Canonical Monte Carlo,0.6,3585.92,2168.46,0.81,1.33,14.95,7.84,7.86,51.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
LAWGEW_CoRE,LAWGEW,CoRE,Real,Grand Canonical Monte Carlo,0.59,3718.5,2200.2,0.83,1.37,15.07,7.94,8.04,51.9,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
LAWGIA_CoRE,LAWGIA,CoRE,Real,Grand Canonical Monte Carlo,0.59,3723.0,2198.8,0.83,1.37,15.07,7.94,8.04,51.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
LURRIA_CoRE,LURRIA,CoRE,Real,Grand Canonical Monte Carlo,0.41,4585.5,1864.2,0.92,2.08,22.37,9.74,11.14,51.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
RAYMOV_CoRE,RAYMOV,CoRE,Real,Grand Canonical Monte Carlo,0.42,4875.0,2067.0,0.88,1.92,13.9,9.66,10.9,51.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SENWOZ_CoRE,SENWOZ,CoRE,Real,Grand Canonical Monte Carlo,0.74,3188.7,2369.4,0.81,1.05,8.93,7.14,6.52,51.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PEVQAK_CoRE,PEVQAK,CoRE,Real,Grand Canonical Monte Carlo,0.6,3634.3,2189.4,0.84,1.35,14.87,7.89,7.91,51.87,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
UNIGEE_CoRE,UNIGEE,CoRE,Real,Grand Canonical Monte Carlo,0.61,3599.22,2179.51,0.81,1.33,14.93,7.84,7.84,51.84,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SUKYIH_CoRE,SUKYIH,CoRE,Real,Grand Canonical Monte Carlo,0.6,3788.5,2271.3,0.82,1.28,9.65,7.09,7.89,51.82,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VUSKEA_CoRE,VUSKEA,CoRE,Real,Grand Canonical Monte Carlo,0.59,3590.0,2134.9,0.84,1.36,15.0,8.0,8.02,51.8,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PEVQOY_CoRE,PEVQOY,CoRE,Real,Grand Canonical Monte Carlo,0.61,3592.7,2204.9,0.83,1.31,14.81,7.88,7.78,51.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
EDUSIF_CoRE,EDUSIF,CoRE,Real,Grand Canonical Monte Carlo,0.59,3634.1,2156.3,0.83,1.36,15.07,7.92,8.02,51.78,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
LAWGUM_CoRE,LAWGUM,CoRE,Real,Grand Canonical Monte Carlo,0.59,3732.8,2197.9,0.83,1.37,15.11,7.93,8.02,51.78,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
LAWGOG_CoRE,LAWGOG,CoRE,Real,Grand Canonical Monte Carlo,0.59,3728.2,2197.5,0.83,1.37,15.08,7.94,8.02,51.75,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
OFODAP_CoRE,OFODAP,CoRE,Real,Grand Canonical Monte Carlo,0.84,2820.7,2372.6,0.8,0.89,8.07,6.7,5.77,51.71,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SETTAO_CoRE,SETTAO,CoRE,Real,Grand Canonical Monte Carlo,0.53,3807.9,2033.8,0.86,1.48,13.88,10.04,8.82,51.71,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SAHYOQ05_CoRE,SAHYOQ05,CoRE,Real,Grand Canonical Monte Carlo,0.59,3680.78,2169.86,0.81,1.37,15.09,7.95,8.02,51.69,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VUJBIM_CoRE,VUJBIM,CoRE,Real,Grand Canonical Monte Carlo,0.56,3721.3,2086.7,0.85,1.41,18.71,6.62,8.38,51.64,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PEVPUD_CoRE,PEVPUD,CoRE,Real,Grand Canonical Monte Carlo,0.59,3647.2,2169.9,0.84,1.37,14.96,7.91,8.0,51.59,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
MUDTEL_CoRE,MUDTEL,CoRE,Real,Grand Canonical Monte Carlo,0.56,3718.7,2079.8,0.85,1.42,19.1,6.59,8.37,51.56,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
NAYZOE_CoRE,NAYZOE,CoRE,Real,Grand Canonical Monte Carlo,0.5,4639.9,2314.9,0.86,1.62,15.82,6.53,9.28,51.53,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
XANLUV_CoRE,XANLUV,CoRE,Real,Grand Canonical Monte Carlo,0.57,3805.8,2159.7,0.83,1.42,13.12,9.23,8.24,51.51,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SENWAL_CoRE,SENWAL,CoRE,Real,Grand Canonical Monte Carlo,0.73,3171.4,2321.0,0.82,1.07,8.65,7.37,6.55,51.5,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
MOCKAR_CoRE,MOCKAR,CoRE,Real,Grand Canonical Monte Carlo,0.75,2948.2,2207.1,0.83,1.0,10.84,6.73,6.37,51.46,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VAZTOG_CoRE,VAZTOG,CoRE,Real,Grand Canonical Monte Carlo,0.59,3681.1,2171.5,0.82,1.37,15.08,7.94,7.98,51.44,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
BICPUA_CoRE,BICPUA,CoRE,Real,Grand Canonical Monte Carlo,0.54,3813.0,2073.8,0.88,1.5,13.8,9.91,8.63,51.4,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ALUKOI_CoRE,ALUKOI,CoRE,Real,Grand Canonical Monte Carlo,0.58,5031.5,2918.0,0.83,1.36,8.55,6.75,8.08,51.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
DIDDOK_CoRE,DIDDOK,CoRE,Real,Grand Canonical Monte Carlo,0.53,4639.5,2439.6,0.83,1.49,9.6,8.17,8.76,51.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
YUGLES_CoRE,YUGLES,CoRE,Real,Grand Canonical Monte Carlo,0.72,3074.3,2207.3,0.81,1.05,10.9,6.78,6.61,51.32,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
NUTQAV_CoRE,NUTQAV,CoRE,Real,Grand Canonical Monte Carlo,0.72,3021.0,2183.4,0.81,1.04,10.89,6.87,6.6,51.3,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
RICBEM_CoRE,RICBEM,CoRE,Real,Grand Canonical Monte Carlo,0.4,5744.8,2293.2,0.88,2.07,11.38,8.59,11.27,51.28,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
SIZPUN_CoRE,SIZPUN,CoRE,Real,Grand Canonical Monte Carlo,0.69,2943.2,2041.9,0.84,1.09,19.23,6.71,6.86,51.26,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VEBHUG_CoRE,VEBHUG,CoRE,Real,Grand Canonical Monte Carlo,0.45,4301.9,1935.8,0.87,1.89,17.27,10.01,10.16,51.23,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
XAWVUN_CoRE,XAWVUN,CoRE,Real,Grand Canonical Monte Carlo,0.46,4690.6,2177.5,0.86,1.76,10.79,9.22,9.94,51.19,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
XEBHOC_CoRE,XEBHOC,CoRE,Real,Grand Canonical Monte Carlo,0.47,4666.6,2170.3,0.86,1.75,12.08,9.91,9.74,51.13,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ADASOP_CoRE,ADASOP,CoRE,Real,Grand Canonical Monte Carlo,0.63,3358.8,2121.6,0.84,1.22,18.07,6.71,7.44,51.08,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
XALMOO_CoRE,XALMOO,CoRE,Real,Grand Canonical Monte Carlo,0.45,4614.2,2091.2,0.86,1.77,13.4,8.17,10.11,51.04,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
RUVKAV_CoRE,RUVKAV,CoRE,Real,Grand Canonical Monte Carlo,0.6,3571.2,2148.7,0.83,1.31,11.95,7.15,7.78,51.0,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
QUSBIP_CoRE,QUSBIP,CoRE,Real,Grand Canonical Monte Carlo,0.57,4171.5,2357.0,0.82,1.38,10.67,7.41,8.15,50.99,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
JEJWOL_CoRE,JEJWOL,CoRE,Real,Grand Canonical Monte Carlo,0.65,3284.9,2126.8,0.8,1.17,9.81,7.51,7.22,50.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PEJNOJ_CoRE,PEJNOJ,CoRE,Real,Grand Canonical Monte Carlo,0.8,2939.32,2351.83,0.71,0.89,6.26,5.56,5.94,50.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ANUGOG_CoRE,ANUGOG,CoRE,Real,Grand Canonical Monte Carlo,0.58,4043.4,2364.1,0.84,1.33,11.39,7.09,8.01,50.95,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
KEJQAR01_CoRE,KEJQAR01,CoRE,Real,Grand Canonical Monte Carlo,0.97,0.0,0.0,0.74,0.7,10.47,2.57,4.95,50.95,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,5.0
ALAMUW_CoRE,ALAMUW,CoRE,Real,Grand Canonical Monte Carlo,0.65,3572.2,2321.9,0.83,1.18,11.93,5.98,7.21,50.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PENNON_CoRE,PENNON,CoRE,Real,Grand Canonical Monte Carlo,0.68,3616.3,2476.8,0.78,1.08,7.93,6.24,6.92,50.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
EMIGEN_CoRE,EMIGEN,CoRE,Real,Grand Canonical Monte Carlo,1.09,2114.3,2311.0,0.83,0.69,9.93,9.16,4.44,50.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,5.0
EPOTAF_CoRE,EPOTAF,CoRE,Real,Grand Canonical Monte Carlo,0.58,5193.8,2987.7,0.82,1.34,7.63,6.61,8.0,50.86,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
LUYHAP_CoRE,LUYHAP,CoRE,Real,Grand Canonical Monte Carlo,0.62,3546.2,2193.5,0.83,1.26,12.06,6.74,7.53,50.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VAGMOH_CoRE,VAGMOH,CoRE,Real,Grand Canonical Monte Carlo,0.49,4646.19,2298.05,0.79,1.6,9.56,7.67,9.25,50.85,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
WEBKIZ_CoRE,WEBKIZ,CoRE,Real,Grand Canonical Monte Carlo,0.85,2616.5,2233.8,0.81,0.84,9.42,6.39,5.6,50.84,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ALANAD_CoRE,ALANAD,CoRE,Real,Grand Canonical Monte Carlo,0.7,3783.4,2638.1,0.79,1.07,8.58,5.81,6.72,50.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
MOCKEV_CoRE,MOCKEV,CoRE,Real,Grand Canonical Monte Carlo,0.77,2846.3,2185.4,0.79,0.96,10.91,6.62,6.15,50.8,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
RAHNOF_CoRE,RAHNOF,CoRE,Real,Grand Canonical Monte Carlo,0.59,3488.3,2075.0,0.84,1.31,19.04,6.57,7.86,50.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ANUGEW_CoRE,ANUGEW,CoRE,Real,Grand Canonical Monte Carlo,0.44,4588.8,2035.0,0.87,1.87,14.44,10.21,10.27,50.76,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
EMIGAJ_CoRE,EMIGAJ,CoRE,Real,Grand Canonical Monte Carlo,1.1,1994.7,2203.5,0.83,0.69,12.67,10.76,4.39,50.75,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,5.0
WEBKOF_CoRE,WEBKOF,CoRE,Real,Grand Canonical Monte Carlo,0.85,2591.8,2212.7,0.8,0.84,9.58,6.48,5.59,50.73,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PEWLUA_CoRE,PEWLUA,CoRE,Real,Grand Canonical Monte Carlo,0.59,3681.4,2168.1,0.84,1.33,17.77,7.52,7.85,50.7,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ALUKIC_CoRE,ALUKIC,CoRE,Real,Grand Canonical Monte Carlo,0.57,5132.1,2909.5,0.83,1.39,8.54,6.77,8.11,50.67,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
AMODUC_CoRE,AMODUC,CoRE,Real,Grand Canonical Monte Carlo,0.58,5029.9,2895.9,0.85,1.37,8.56,6.7,7.97,50.62,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
UKIQOV_CoRE,UKIQOV,CoRE,Real,Grand Canonical Monte Carlo,0.63,3229.5,2031.1,0.84,1.23,13.67,9.64,7.38,50.62,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
ADASIJ_CoRE,ADASIJ,CoRE,Real,Grand Canonical Monte Carlo,0.63,3342.8,2103.5,0.83,1.23,18.23,6.6,7.37,50.57,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
REWNEO01_CoRE,REWNEO01,CoRE,Real,Grand Canonical Monte Carlo,0.6,3690.8,2134.6,0.84,1.31,19.37,6.77,7.71,50.54,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
PEVQIS_CoRE,PEVQIS,CoRE,Real,Grand Canonical Monte Carlo,0.61,3569.4,2162.3,0.81,1.32,14.9,7.78,7.6,50.51,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
MAYKOO_CoRE,MAYKOO,CoRE,Real,Grand Canonical Monte Carlo,0.6,3156.4,1904.3,0.81,1.26,12.58,11.5,7.7,50.48,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
WEHJEA_CoRE,WEHJEA,CoRE,Real,Grand Canonical Monte Carlo,0.73,2908.4,2133.5,0.79,1.02,11.11,5.77,6.42,50.47,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
VAGMIB01_CoRE,VAGMIB01,CoRE,Real,Grand Canonical Monte Carlo,0.46,4684.27,2170.6,0.81,1.74,11.07,10.14,9.83,50.46,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
NAFRUI_CoRE,NAFRUI,CoRE,Real,Grand Canonical Monte Carlo,1.23,0.0,0.0,0.71,0.57,10.69,2.62,3.91,50.41,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,1.0,5.0
ALULAV_CoRE,ALULAV,CoRE,Real,Grand Canonical Monte Carlo,0.59,5000.8,2955.0,0.83,1.33,8.53,6.74,7.82,50.4,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
AMOFAK_CoRE,AMOFAK,CoRE,Real,Grand Canonical Monte Carlo,0.58,5106.8,2948.0,0.83,1.36,8.39,6.73,7.94,50.39,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source,5.0,5.0
