Name ,CSD refc. ,DB Acr. ,GT ,Calc. Type ,Density ,GSA ,VSA ,VF ,PV ,LCD ,PLD ,UG at PS ,UV at PS ,Source ,CSFT ,CSA 
ECOLEP_CoRE,ECOLEP,CoRE,Real,Grand Canonical Monte Carlo,0.41,4509.5,1836.4,0.89,2.09,11.64,10.92,8.25,38.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
VUSJUP_CoRE,VUSJUP,CoRE,Real,Grand Canonical Monte Carlo,0.52,4141.5,2150.6,0.83,1.63,14.85,8.73,6.54,38.11,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
GAQYIH_CoRE,GAQYIH,CoRE,Real,Grand Canonical Monte Carlo,0.56,3713.1,2079.0,0.84,1.52,20.26,8.97,6.08,37.77,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XUKYEI_CoRE,XUKYEI,CoRE,Real,Grand Canonical Monte Carlo,0.29,6326.6,1817.1,0.88,3.02,13.17,10.76,10.68,37.42,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
VEBHUG_CoRE,VEBHUG,CoRE,Real,Grand Canonical Monte Carlo,0.45,4301.9,1935.8,0.87,1.89,17.27,10.01,7.19,37.37,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
BAZFUF_CoRE,BAZFUF,CoRE,Real,Grand Canonical Monte Carlo,0.34,5469.6,1859.9,0.91,2.54,20.24,8.58,9.1,37.13,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HABQUY_CoRE,HABQUY,CoRE,Real,Grand Canonical Monte Carlo,0.29,5749.5,1664.2,0.91,3.04,25.72,12.09,10.51,37.05,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
GAGZEV_CoRE,GAGZEV,CoRE,Real,Grand Canonical Monte Carlo,0.28,5777.0,1612.6,0.92,3.17,28.67,11.54,10.84,37.03,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ZELROZ_CoRE,ZELROZ,CoRE,Real,Grand Canonical Monte Carlo,0.36,4946.8,1790.4,0.88,2.4,16.91,11.07,8.7,36.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAFFIV_CoRE,XAFFIV,CoRE,Real,Grand Canonical Monte Carlo,0.36,5328.7,1909.8,0.89,2.36,14.23,13.19,8.54,36.58,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
VAGMAT_CoRE,VAGMAT,CoRE,Real,Grand Canonical Monte Carlo,0.36,5202.7,1897.6,0.89,2.33,14.92,13.26,8.5,36.51,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAFFAN_CoRE,XAFFAN,CoRE,Real,Grand Canonical Monte Carlo,0.37,5181.1,1892.1,0.89,2.33,14.91,13.24,8.31,36.51,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIBJAK_CoRE,NIBJAK,CoRE,Real,Grand Canonical Monte Carlo,0.22,5417.2,1210.4,0.94,4.09,32.0,17.55,13.2,36.42,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAFFOB_CoRE,XAFFOB,CoRE,Real,Grand Canonical Monte Carlo,0.37,5194.9,1906.5,0.89,2.32,14.84,13.17,8.3,36.41,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HEXVEM_CoRE,HEXVEM,CoRE,Real,Grand Canonical Monte Carlo,0.25,5455.2,1373.3,0.93,3.58,28.43,15.92,11.81,36.39,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAFFER_CoRE,XAFFER,CoRE,Real,Grand Canonical Monte Carlo,0.36,5171.1,1861.0,0.89,2.37,14.22,13.29,8.47,36.33,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
VAGMEX_CoRE,VAGMEX,CoRE,Real,Grand Canonical Monte Carlo,0.35,5152.0,1814.6,0.9,2.43,15.28,14.49,8.69,36.31,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIBHOW_CoRE,NIBHOW,CoRE,Real,Grand Canonical Monte Carlo,0.28,5102.9,1426.8,0.92,3.19,27.51,14.88,10.64,36.18,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ADATIK_CoRE,ADATIK,CoRE,Real,Grand Canonical Monte Carlo,0.38,4566.1,1724.1,0.89,2.3,24.55,12.17,8.12,35.95,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ADATAC_CoRE,ADATAC,CoRE,Real,Grand Canonical Monte Carlo,0.34,5145.2,1735.3,0.9,2.57,26.34,10.28,8.85,35.93,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
VETMIS_CoRE,VETMIS,CoRE,Real,Grand Canonical Monte Carlo,0.31,5712.8,1782.2,0.9,2.77,17.24,11.95,9.49,35.72,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAHPON_CoRE,XAHPON,CoRE,Real,Grand Canonical Monte Carlo,0.28,5268.4,1497.6,0.92,3.1,17.3,15.33,10.38,35.51,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
FEBXIV_CoRE,FEBXIV,CoRE,Real,Grand Canonical Monte Carlo,0.29,5165.8,1517.2,0.91,3.0,17.29,15.75,10.07,35.49,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LEJCIO_CoRE,LEJCIO,CoRE,Real,Grand Canonical Monte Carlo,0.33,5274.8,1721.5,0.91,2.66,18.52,14.1,8.93,35.38,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
RUTNOK_CoRE,RUTNOK,CoRE,Real,Grand Canonical Monte Carlo,0.24,6199.7,1493.0,0.9,3.73,24.61,14.65,12.05,35.36,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MEHMET_CoRE,MEHMET,CoRE,Real,Grand Canonical Monte Carlo,0.41,4594.4,1878.2,0.89,2.06,21.83,9.07,7.35,35.24,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LEJCEK_CoRE,LEJCEK,CoRE,Real,Grand Canonical Monte Carlo,0.33,5776.1,1929.4,0.88,2.58,17.2,11.68,8.88,35.04,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EHIJAH_CoRE,EHIJAH,CoRE,Real,Grand Canonical Monte Carlo,0.39,4502.8,1734.2,0.88,2.21,18.49,11.7,7.65,35.01,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EDUVOO_CoRE,EDUVOO,CoRE,Real,Grand Canonical Monte Carlo,0.37,4857.1,1813.7,0.91,2.31,20.93,10.63,7.98,35.0,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAHPIH_CoRE,XAHPIH,CoRE,Real,Grand Canonical Monte Carlo,0.36,4682.6,1667.9,0.89,2.42,14.32,13.38,8.22,35.0,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HABRAF_CoRE,HABRAF,CoRE,Real,Grand Canonical Monte Carlo,0.38,4849.7,1854.2,0.89,2.21,24.3,9.04,7.78,34.99,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LURRIA_CoRE,LURRIA,CoRE,Real,Grand Canonical Monte Carlo,0.41,4585.5,1864.2,0.92,2.08,22.37,9.74,7.2,34.91,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAHQAA_CoRE,XAHQAA,CoRE,Real,Grand Canonical Monte Carlo,0.17,6250.1,1065.2,0.95,5.44,23.04,21.61,15.72,34.91,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
WIYMOG_CoRE,WIYMOG,CoRE,Real,Grand Canonical Monte Carlo,0.41,6832.6,2788.4,0.81,2.05,12.05,7.55,7.33,34.84,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAFFUH_CoRE,XAFFUH,CoRE,Real,Grand Canonical Monte Carlo,0.33,5152.2,1695.9,0.9,2.63,23.73,19.64,8.82,34.82,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAHPUT_CoRE,XAHPUT,CoRE,Real,Grand Canonical Monte Carlo,0.18,6301.4,1125.9,0.94,5.15,21.83,20.59,14.93,34.67,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ADASEF_CoRE,ADASEF,CoRE,Real,Grand Canonical Monte Carlo,0.44,4167.7,1815.5,0.89,1.96,21.62,10.92,6.82,34.52,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HOMXIR_CoRE,HOMXIR,CoRE,Real,Grand Canonical Monte Carlo,0.39,4388.2,1730.8,0.88,2.16,23.7,22.85,7.57,34.52,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ECOKAJ_CoRE,ECOKAJ,CoRE,Real,Grand Canonical Monte Carlo,0.33,3575.4,1163.2,0.89,2.69,19.0,17.58,8.93,34.48,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
BAZGAM_CoRE,BAZGAM,CoRE,Real,Grand Canonical Monte Carlo,0.13,6580.9,832.7,0.97,7.46,42.8,24.24,19.33,34.34,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
BIBXOB_CoRE,BIBXOB,CoRE,Real,Grand Canonical Monte Carlo,0.41,4923.9,2016.6,0.87,2.04,19.69,7.99,7.18,34.17,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HOHMEX_CoRE,HOHMEX,CoRE,Real,Grand Canonical Monte Carlo,0.32,4985.9,1575.0,0.88,2.74,18.78,14.89,8.96,34.09,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PIBPIA_CoRE,PIBPIA,CoRE,Real,Grand Canonical Monte Carlo,0.46,2982.2,1368.0,0.85,1.83,15.49,14.25,6.57,34.07,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAHPED_CoRE,XAHPED,CoRE,Real,Grand Canonical Monte Carlo,0.37,5130.6,1921.1,0.87,2.26,12.37,10.87,7.79,34.04,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PIBNUK_CoRE,PIBNUK,CoRE,Real,Grand Canonical Monte Carlo,0.42,3288.9,1391.4,0.85,1.98,15.37,14.18,7.09,34.02,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
TEQPEM_CoRE,TEQPEM,CoRE,Real,Grand Canonical Monte Carlo,0.57,3456.2,1980.1,0.86,1.45,17.24,9.16,5.24,34.0,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ALULEZ_CoRE,ALULEZ,CoRE,Real,Grand Canonical Monte Carlo,0.43,3447.0,1468.3,0.84,1.96,18.76,13.38,6.94,33.99,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
DITJIB_CoRE,DITJIB,CoRE,Real,Grand Canonical Monte Carlo,0.52,3397.8,1771.7,0.87,1.6,20.36,9.01,5.78,33.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LEHXUT_CoRE,LEHXUT,CoRE,Real,Grand Canonical Monte Carlo,0.41,4559.9,1856.6,0.88,2.06,24.96,9.12,7.06,33.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
RICBEM_CoRE,RICBEM,CoRE,Real,Grand Canonical Monte Carlo,0.4,5744.8,2293.2,0.88,2.07,11.38,8.59,7.14,33.88,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PIBNUK01_CoRE,PIBNUK01,CoRE,Real,Grand Canonical Monte Carlo,0.42,3296.5,1393.5,0.85,1.97,15.38,14.19,7.04,33.81,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
OWIZAW_CoRE,OWIZAW,CoRE,Real,Grand Canonical Monte Carlo,0.38,4994.9,1891.3,0.86,2.2,14.24,11.76,7.52,33.71,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
GUNFAW01_CoRE,GUNFAW01,CoRE,Real,Grand Canonical Monte Carlo,0.66,3470.9,2301.2,0.74,1.19,9.61,7.34,4.62,33.47,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XAWVUN_CoRE,XAWVUN,CoRE,Real,Grand Canonical Monte Carlo,0.46,4690.6,2177.5,0.86,1.76,10.79,9.22,6.26,33.47,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
EFAYIU_CoRE,EFAYIU,CoRE,Real,Grand Canonical Monte Carlo,0.43,5118.7,2219.4,0.84,1.88,11.57,8.64,6.66,33.45,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
ANUGEW_CoRE,ANUGEW,CoRE,Real,Grand Canonical Monte Carlo,0.44,4588.8,2035.0,0.87,1.87,14.44,10.21,6.51,33.43,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
NIBHUC_CoRE,NIBHUC,CoRE,Real,Grand Canonical Monte Carlo,0.45,4257.3,1913.2,0.87,1.84,18.87,11.87,6.39,33.42,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
WAGYUA_CoRE,WAGYUA,CoRE,Real,Grand Canonical Monte Carlo,0.44,4532.8,1986.9,0.86,1.9,16.87,10.74,6.53,33.38,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
OGEBAF_CoRE,OGEBAF,CoRE,Real,Grand Canonical Monte Carlo,0.41,5163.4,2121.5,0.86,2.03,14.91,10.65,6.93,33.31,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
SAHYOQ04_CoRE,SAHYOQ04,CoRE,Real,Grand Canonical Monte Carlo,0.59,3654.17,2154.18,0.81,1.37,15.06,7.95,4.99,33.3,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XEBHOC_CoRE,XEBHOC,CoRE,Real,Grand Canonical Monte Carlo,0.47,4666.6,2170.3,0.86,1.75,12.08,9.91,6.1,33.25,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
SAHYOQ05_CoRE,SAHYOQ05,CoRE,Real,Grand Canonical Monte Carlo,0.59,3680.78,2169.86,0.81,1.37,15.09,7.95,4.99,33.19,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
IZOWAW_CoRE,IZOWAW,CoRE,Real,Grand Canonical Monte Carlo,1.01,1766.5,1777.2,0.78,0.79,18.95,10.51,3.13,33.18,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
VAZTOG_CoRE,VAZTOG,CoRE,Real,Grand Canonical Monte Carlo,0.59,3681.1,2171.5,0.82,1.37,15.08,7.94,4.99,33.15,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
XOVQEF_CoRE,XOVQEF,CoRE,Real,Grand Canonical Monte Carlo,0.43,4601.6,1985.4,0.86,1.91,13.74,11.43,6.55,32.98,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
HIFTOG01_CoRE,HIFTOG01,CoRE,Real,Grand Canonical Monte Carlo,0.58,1136.1,1315.6,0.83,1.38,7.88,4.15,5.03,32.96,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR02_CoRE,MIBQAR02,CoRE,Real,Grand Canonical Monte Carlo,0.59,3703.25,2186.32,0.81,1.38,15.1,7.96,4.94,32.94,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR01_CoRE,MIBQAR01,CoRE,Real,Grand Canonical Monte Carlo,0.59,3706.88,2186.59,0.81,1.38,15.1,7.96,4.95,32.92,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
FAHPOV_CoRE,FAHPOV,CoRE,Real,Grand Canonical Monte Carlo,0.47,4026.2,1872.4,0.84,1.77,15.83,12.71,6.1,32.91,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
SAHYOQ02_CoRE,SAHYOQ02,CoRE,Real,Grand Canonical Monte Carlo,0.59,3685.88,2171.3,0.81,1.38,15.1,7.97,4.94,32.89,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LAWGUM_CoRE,LAWGUM,CoRE,Real,Grand Canonical Monte Carlo,0.59,3732.8,2197.9,0.83,1.37,15.11,7.93,4.94,32.87,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LAWGIA_CoRE,LAWGIA,CoRE,Real,Grand Canonical Monte Carlo,0.59,3723.0,2198.8,0.83,1.37,15.07,7.94,4.93,32.86,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LAWGOG_CoRE,LAWGOG,CoRE,Real,Grand Canonical Monte Carlo,0.59,3728.2,2197.5,0.83,1.37,15.08,7.94,4.93,32.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR05_CoRE,MIBQAR05,CoRE,Real,Grand Canonical Monte Carlo,0.59,3693.64,2186.93,0.81,1.37,15.08,7.97,4.92,32.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR08_CoRE,MIBQAR08,CoRE,Real,Grand Canonical Monte Carlo,0.59,3692.22,2190.67,0.81,1.37,15.06,7.97,4.9,32.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
SAHYOQ03_CoRE,SAHYOQ03,CoRE,Real,Grand Canonical Monte Carlo,0.59,3634.19,2150.31,0.81,1.37,15.11,7.95,4.94,32.83,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR03_CoRE,MIBQAR03,CoRE,Real,Grand Canonical Monte Carlo,0.59,3698.75,2186.4,0.81,1.37,15.09,7.97,4.92,32.82,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
DITJOH_CoRE,DITJOH,CoRE,Real,Grand Canonical Monte Carlo,0.45,4073.3,1827.9,0.86,1.84,19.43,8.59,6.32,32.8,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR04_CoRE,MIBQAR04,CoRE,Real,Grand Canonical Monte Carlo,0.59,3698.0,2186.95,0.81,1.37,15.09,7.96,4.91,32.8,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR06_CoRE,MIBQAR06,CoRE,Real,Grand Canonical Monte Carlo,0.59,3694.12,2188.59,0.81,1.37,15.06,7.97,4.9,32.79,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
SICZOV_CoRE,SICZOV,CoRE,Real,Grand Canonical Monte Carlo,0.42,4151.1,1743.0,0.9,2.01,18.76,11.87,6.65,32.78,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
LAWGEW_CoRE,LAWGEW,CoRE,Real,Grand Canonical Monte Carlo,0.59,3718.5,2200.2,0.83,1.37,15.07,7.94,4.91,32.74,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR07_CoRE,MIBQAR07,CoRE,Real,Grand Canonical Monte Carlo,0.59,3693.27,2189.78,0.81,1.37,15.05,7.97,4.89,32.74,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
PEVPUD_CoRE,PEVPUD,CoRE,Real,Grand Canonical Monte Carlo,0.59,3647.2,2169.9,0.84,1.37,14.96,7.91,4.9,32.6,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
MIBQAR13_CoRE,MIBQAR13,CoRE,Real,Grand Canonical Monte Carlo,0.6,3683.72,2194.25,0.81,1.36,15.04,7.97,4.85,32.59,DOI: 10.1021/cm502594j,CIF (P1 Symmetry),Open Source
