MOF,basis,PS_high_molkg,PS_low_molkg,TPS_low_molkg,PS_high_mgg_reported,PS_low_mgg_reported,TPS_low_mgg_reported,PS_high_mgg_corrected,PS_low_mgg_corrected,TPS_low_mgg_corrected,PS_high_ratio_reported,PS_low_ratio_reported,TPS_low_ratio_reported,PS_high_wt_pct,PS_low_wt_pct,TPS_low_wt_pct,PS_high_uv_gL,PS_low_uv_gL,TPS_low_uv_gL,UG_PS_wt_pct,UV_PS_gL,UG_TPS_wt_pct,UV_TPS_gL
CAXPIC,absolute,0.9175366093,0.7489234789,0.0436526131,0.9248218500,0.7548699313,0.0439992149,1.8496437000,1.5097398626,0.0879984297,0.500000,0.500000,0.500000,0.184964,0.150974,0.008800,3.492786,2.850927,0.166172,0.033990,0.641860,0.176165,3.326614
CAXPIC,excess,0.9175366093,0.7489234789,0.0436526131,0.9248218500,0.7548699313,0.0439992149,1.8496437000,1.5097398626,0.0879984297,0.500000,0.500000,0.500000,0.184964,0.150974,0.008800,3.492786,2.850927,0.166172,0.033990,0.641860,0.176165,3.326614
ECOTOG,absolute,0.0222298857,0.0014000324,0.0002853213,0.0224063910,0.0014111487,0.0002875867,0.0448127820,0.0028222973,0.0005751735,0.500000,0.500000,0.500000,0.004481,0.000282,0.000058,0.082220,0.005178,0.001055,0.004199,0.077042,0.004424,0.081165
ECOTOG,excess,0.0222298857,0.0014000324,0.0002853213,0.0224063910,0.0014111487,0.0002875867,0.0448127820,0.0028222973,0.0005751735,0.500000,0.500000,0.500000,0.004481,0.000282,0.000058,0.082220,0.005178,0.001055,0.004199,0.077042,0.004424,0.081165
VAGMAT,absolute,,23.8557301865,2.2102237470,,24.0451446842,2.2277729235,,48.0902893684,4.4555458471,,0.500000,0.500000,,4.809029,0.445555,,17.540667,1.625136,,,,
VAGMAT,excess,,23.8557301865,2.2102237470,,24.0451446842,2.2277729235,,48.0902893684,4.4555458471,,0.500000,0.500000,,4.809029,0.445555,,17.540667,1.625136,,,,
XAFFAN,absolute,85.5364953255,23.7214266656,2.2036067457,86.2156550984,23.9097747933,2.2211033832,172.4313101968,47.8195495866,4.4422067665,0.500000,0.500000,0.500000,17.243131,4.781955,0.444221,62.971378,17.463551,1.622280,12.461176,45.507827,16.798910,61.349098
XAFFAN,excess,85.5364953255,23.7214266656,2.2036067457,86.2156550984,23.9097747933,2.2211033832,172.4313101968,47.8195495866,4.4422067665,0.500000,0.500000,0.500000,17.243131,4.781955,0.444221,62.971378,17.463551,1.622280,12.461176,45.507827,16.798910,61.349098
XAFFIV,absolute,86.5438091313,23.2747671351,2.1946266716,87.2309669758,23.4595687861,2.2120520074,174.4619339516,46.9191375723,4.4241040147,0.500000,0.500000,0.500000,17.446193,4.691914,0.442410,62.526155,16.815549,1.585573,12.754280,45.710605,17.003783,60.940581
XAFFIV,excess,86.5438091313,23.2747671351,2.1946266716,87.2309669758,23.4595687861,2.2120520074,174.4619339516,46.9191375723,4.4241040147,0.500000,0.500000,0.500000,17.446193,4.691914,0.442410,62.526155,16.815549,1.585573,12.754280,45.710605,17.003783,60.940581
XUJCUB,absolute,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
XUJCUB,excess,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
