model,task,n_train,n_test,csv
RF,PS_UG,3459,1154,splits/random_forest/PS_UG_rf_split_indices.csv
RF,PS_UV,3459,1154,splits/random_forest/PS_UV_rf_split_indices.csv
RF,TPS_UG,3459,1154,splits/random_forest/TPS_UG_rf_split_indices.csv
RF,TPS_UV,3459,1154,splits/random_forest/TPS_UV_rf_split_indices.csv
ERT,PS_UG,3459,1154,splits/extra_trees/PS_UG_ert_split_indices.csv
ERT,PS_UV,3459,1154,splits/extra_trees/PS_UV_ert_split_indices.csv
ERT,TPS_UG,3459,1154,splits/extra_trees/TPS_UG_ert_split_indices.csv
ERT,TPS_UV,3459,1154,splits/extra_trees/TPS_UV_ert_split_indices.csv
HGB,PS_UG,3459,1154,splits/hist_gradient_boosting/PS_UG_hgb_split_indices.csv
HGB,PS_UV,3459,1154,splits/hist_gradient_boosting/PS_UV_hgb_split_indices.csv
HGB,TPS_UG,3459,1154,splits/hist_gradient_boosting/TPS_UG_hgb_split_indices.csv
HGB,TPS_UV,3459,1154,splits/hist_gradient_boosting/TPS_UV_hgb_split_indices.csv
LGBM,PS_UG,3459,1154,splits/lightgbm/PS_UG_lgbm_split_indices.csv
LGBM,PS_UV,3459,1154,splits/lightgbm/PS_UV_lgbm_split_indices.csv
LGBM,TPS_UG,3459,1154,splits/lightgbm/TPS_UG_lgbm_split_indices.csv
LGBM,TPS_UV,3459,1154,splits/lightgbm/TPS_UV_lgbm_split_indices.csv
KNN,PS_UG,3459,1154,splits/knn/PS_UG_knn_split_indices.csv
KNN,PS_UV,3459,1154,splits/knn/PS_UV_knn_split_indices.csv
KNN,TPS_UG,3459,1154,splits/knn/TPS_UG_knn_split_indices.csv
KNN,TPS_UV,3459,1154,splits/knn/TPS_UV_knn_split_indices.csv
SVR,PS_UG,3459,1154,splits/support_vector_regressor/PS_UG_svr_split_indices.csv
SVR,PS_UV,3459,1154,splits/support_vector_regressor/PS_UV_svr_split_indices.csv
SVR,TPS_UG,3459,1154,splits/support_vector_regressor/TPS_UG_svr_split_indices.csv
SVR,TPS_UV,3459,1154,splits/support_vector_regressor/TPS_UV_svr_split_indices.csv
